label,activity,user1,user2,user3,user4,user5,user6,user7,user8,user9,user16,user17,user18,user19,user20,user21,user22,user23,user24,clips,subjects_with_clips
0,Wash face,0,0,0,3,3,3,0,6,0,3,0,3,0,3,6,5,3,6,44,11
1,Brush teeth,0,0,0,0,0,3,3,6,1,3,3,6,3,3,3,5,6,6,51,13
2,Comb hair,3,0,3,0,6,2,3,4,3,3,3,3,3,6,3,6,3,3,57,16
3,Take off clothes,0,0,0,2,0,0,6,6,3,0,3,6,3,0,0,6,6,0,41,9
4,Wipe hands,3,4,0,3,0,3,6,6,6,3,6,6,8,3,6,6,3,3,75,16
5,Put on clothes,3,0,3,3,0,0,6,6,3,0,6,6,3,0,3,9,6,0,57,12
6,Drink water,6,12,9,6,15,12,3,3,6,12,0,2,6,6,6,9,3,6,122,17
7,Eat food,11,15,12,11,12,11,14,3,3,12,15,3,3,9,3,12,3,3,155,18
8,Take and use tableware,10,12,12,5,0,15,12,0,0,3,9,0,3,3,7,6,0,0,97,12
9,Pour drinks,6,5,6,6,12,9,9,9,9,9,9,9,9,15,3,6,2,0,133,17
10,Stir drinks,9,2,9,6,5,9,9,9,9,9,9,9,9,12,0,3,2,0,120,16
11,Peel fruits,8,6,5,12,12,9,3,9,3,9,3,9,3,0,3,9,0,3,106,16
12,Sweep the floor,3,3,3,3,3,6,3,3,6,6,3,3,6,6,3,0,3,0,63,16
13,Mop the floor,3,3,0,3,6,3,3,2,6,3,3,3,6,9,3,0,0,0,56,14
14,Wipe bowls,5,0,3,3,0,3,3,3,0,3,3,3,0,3,0,3,0,0,35,11
15,Wipe windows and tables,0,0,0,0,3,7,5,6,3,6,6,6,3,3,0,3,3,0,54,12
16,Fold clothes,0,3,0,0,0,0,3,3,0,0,3,3,0,0,0,3,3,3,24,8
17,Tap the keyboard,6,0,6,6,3,3,4,3,11,3,3,3,12,9,0,6,3,6,87,16
18,Write,0,5,3,3,2,3,0,3,0,0,0,6,0,3,0,3,5,3,39,11
19,Make a phone call,0,3,6,2,3,3,0,5,0,3,0,6,0,0,3,3,3,3,43,12
20,Check the time,6,0,0,3,3,12,3,9,6,9,6,9,6,12,6,3,0,3,96,15
21,Read documents,3,2,8,3,9,6,3,6,6,6,3,6,3,3,0,6,3,6,82,17
22,Turn pages,3,2,6,3,3,6,0,6,0,6,0,6,0,6,3,3,0,6,59,13
23,Listen to music with headphones,3,4,5,3,0,3,6,4,6,6,6,3,6,3,6,3,5,6,78,17
24,Use a mobile phone,0,5,0,6,0,6,3,0,0,3,1,0,0,3,9,3,3,6,48,11
25,Watch TV,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,12,3
26,Play games,0,0,0,0,0,2,0,0,12,3,0,0,11,0,0,0,3,9,40,6
27,Take a selfie,3,0,0,3,0,0,3,3,3,0,3,3,3,3,3,3,5,3,41,13
28,Jog in place,0,5,3,3,0,3,3,3,0,3,3,3,0,0,0,3,2,3,37,12
29,Do squats,6,6,3,0,0,3,3,0,11,3,3,3,12,6,3,3,9,3,77,15
30,Do jumping jacks,3,5,0,3,0,3,3,3,3,3,3,3,3,3,3,3,0,0,44,14
31,Do stretching exercises,3,11,6,3,3,0,6,9,5,0,6,9,6,3,0,9,6,3,88,15
32,Stand up,9,7,6,9,9,3,3,2,3,6,3,6,3,3,6,4,6,6,94,18
33,Lie down,0,0,3,0,6,6,3,0,6,6,3,0,3,0,0,0,0,3,39,9
34,Sit down,12,11,7,3,6,13,17,6,9,9,12,3,9,0,0,14,4,12,147,16
35,Do lunges,3,0,0,0,3,3,0,3,0,3,0,3,0,3,0,0,6,0,27,8
36,Walk,17,25,21,15,30,21,22,14,27,21,18,15,26,9,24,22,17,21,365,18
37,Take medicine,0,3,6,3,3,3,3,6,6,3,3,6,6,3,3,3,6,6,72,17
38,Massage oneself,3,6,6,6,0,3,0,0,6,3,0,3,5,6,9,6,6,6,74,14
39,Take body temperature,0,3,3,0,0,3,6,0,6,3,6,3,6,0,6,3,3,6,57,13
,all activities,153,168,163,143,160,203,185,169,187,186,166,179,188,159,133,194,141,159,3036,
