true \ predicted,0 Wash face,1 Brush teeth,2 Comb hair,3 Take off clothes,4 Wipe hands,5 Put on clothes,6 Drink water,7 Eat food,8 Take and use tableware,9 Pour drinks,10 Stir drinks,11 Peel fruits,12 Sweep the floor,13 Mop the floor,14 Wipe bowls,15 Wipe windows and tables,16 Fold clothes,17 Tap the keyboard,18 Write,19 Make a phone call,20 Check the time,21 Read documents,22 Turn pages,23 Listen to music with headphones,24 Use a mobile phone,25 Watch TV,26 Play games,27 Take a selfie,28 Jog in place,29 Do squats,30 Do jumping jacks,31 Do stretching exercises,32 Stand up,33 Lie down,34 Sit down,35 Do lunges,36 Walk,37 Take medicine,38 Massage oneself,39 Take body temperature
0 Wash face,63,1,1,0,9,0,1,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1 Brush teeth,8,72,7,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0
2 Comb hair,0,3,90,0,4,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
3 Take off clothes,0,0,0,64,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
4 Wipe hands,0,0,0,0,116,0,0,0,1,2,0,8,0,0,13,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
5 Put on clothes,0,0,0,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
6 Drink water,0,0,1,0,0,0,204,25,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7 Eat food,0,3,0,0,0,0,29,223,14,3,2,5,0,0,0,0,0,1,2,7,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
8 Take and use tableware,0,2,0,0,0,0,3,9,67,46,22,5,1,0,8,1,0,3,7,1,2,1,0,1,1,0,0,2,0,0,0,0,6,0,2,0,0,3,0,1
9 Pour drinks,0,0,0,0,0,0,1,2,11,225,17,5,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10 Stir drinks,0,0,0,0,0,0,0,5,1,21,178,11,0,0,2,0,0,12,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
11 Peel fruits,0,0,0,0,1,0,0,6,10,8,7,155,0,0,3,4,0,1,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,1,1
12 Sweep the floor,0,0,0,0,0,0,0,0,0,0,0,0,104,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
13 Mop the floor,0,0,0,0,0,0,0,0,0,0,0,0,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 Wipe bowls,0,0,0,0,7,0,0,2,1,0,0,12,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 Wipe windows and tables,0,0,0,0,6,0,0,0,3,7,0,1,0,2,2,65,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,4,0,4,0
16 Fold clothes,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 Tap the keyboard,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,2,0,152,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
