label,activity,clips,subjects,acc_fused_026,acc_fused_022,acc_depth_ir,acc_thermal_026,acc_thermal_022
0,Wash face,44,11,71.59,72.73,68.18,71.95,78.05
1,Brush teeth,51,13,70.59,72.55,80.21,59.57,56.38
2,Comb hair,57,16,78.95,78.07,70.37,81.48,82.41
3,Take off clothes,41,9,78.05,78.05,78.05,78.05,76.83
4,Wipe hands,75,16,77.33,75.33,76.43,74.65,73.94
5,Put on clothes,57,12,95.61,95.61,91.23,84.26,84.26
6,Drink water,122,17,83.61,83.20,72.08,79.51,77.05
7,Eat food,155,18,71.94,64.84,56.82,70.45,64.61
8,Take and use tableware,97,12,34.54,36.60,30.93,34.57,34.57
9,Pour drinks,133,17,84.59,81.20,67.56,81.95,79.70
10,Stir drinks,120,16,74.17,70.83,57.69,75.42,77.08
11,Peel fruits,106,16,73.11,68.87,62.26,68.27,66.35
12,Sweep the floor,63,16,82.54,80.95,84.13,73.68,70.18
13,Mop the floor,56,14,64.29,63.39,47.32,54.72,55.66
14,Wipe bowls,35,11,68.57,67.14,62.86,65.15,62.12
15,Wipe windows and tables,54,12,60.19,60.19,56.73,59.43,56.60
16,Fold clothes,24,8,58.33,58.33,58.33,60.42,56.25
17,Tap the keyboard,87,16,87.36,83.33,76.16,83.53,82.35
18,Write,39,11,19.23,20.51,19.74,21.79,15.38
19,Make a phone call,43,12,61.63,58.14,29.07,70.24,69.05
20,Check the time,96,15,60.42,57.81,51.60,58.60,56.45
21,Read documents,82,17,57.93,52.44,47.95,57.50,53.75
22,Turn pages,59,13,35.59,35.59,33.05,33.05,30.51
23,Listen to music with headphones,78,17,73.72,74.36,63.33,70.78,69.48
24,Use a mobile phone,48,11,20.83,7.29,8.33,31.11,14.44
25,Watch TV,12,3,4.17,0.00,8.33,0.00,0.00
26,Play games,40,6,32.50,36.25,17.50,38.75,42.50
27,Take a selfie,41,13,76.83,76.83,76.83,70.73,71.95
28,Jog in place,37,12,94.59,94.59,87.84,100.00,100.00
29,Do squats,77,15,90.91,92.86,88.31,90.41,91.78
30,Do jumping jacks,44,14,97.73,97.73,89.77,97.73,96.59
31,Do stretching exercises,88,15,82.39,80.68,82.94,80.14,78.77
32,Stand up,94,18,92.55,92.02,83.33,92.94,91.18
33,Lie down,39,9,92.31,92.31,87.88,85.90,88.46
34,Sit down,147,16,94.56,91.84,91.50,87.97,84.59
35,Do lunges,27,8,53.70,55.56,51.92,53.85,57.69
36,Walk,365,18,98.08,97.95,97.76,97.07,97.07
37,Take medicine,72,17,57.64,52.08,39.71,56.52,51.45
38,Massage oneself,74,14,54.73,51.35,45.16,47.06,43.38
39,Take body temperature,57,13,54.39,57.02,31.82,57.41,57.41
