subject,fold,clips,acc_fused_026,acc_fused_022,acc_depth_ir,acc_thermal_026,acc_thermal_022
1,2,153,70.26,69.28,60.40,64.90,63.91
2,1,168,77.08,76.49,75.15,61.58,59.47
3,2,163,72.09,67.48,59.63,72.40,71.43
4,0,143,75.17,72.73,66.79,73.94,71.48
5,0,160,82.81,79.69,70.50,78.71,76.45
6,1,203,62.32,63.79,56.47,57.44,60.26
7,2,185,77.30,73.51,68.75,78.57,76.10
8,1,169,65.68,65.68,60.30,69.63,69.33
9,0,187,83.69,83.69,76.24,81.72,81.99
16,2,186,78.76,75.54,69.09,76.49,76.76
17,1,166,81.02,79.52,73.19,74.85,74.54
18,1,179,71.79,68.44,64.33,68.08,62.43
19,1,188,81.12,81.91,78.49,80.33,81.69
20,2,159,76.10,73.58,62.89,77.04,74.53
21,0,133,64.66,62.41,58.65,65.15,58.71
22,0,194,71.65,70.36,65.18,68.13,66.21
23,2,141,68.79,66.67,60.69,66.67,63.26
24,0,159,76.73,74.84,69.50,75.81,70.65
